cell_id,total_length_m,sep_length_m,sep_share
1,168426.5942514164,7369.114077482917,0.043752675224690334
2,265962.841820771,2222.335527618304,0.00835581208414034
3,11648.858907007012,0.0,0.0
4,157975.36187683232,7111.339860854247,0.045015499735956935
5,503516.7475323251,39518.78226944612,0.07848553690244249
6,539106.2619148325,24034.878810659506,0.04458282255021648
7,191022.74024628385,777.243308622456,0.004068852261360943
8,2691.189077955916,0.0,0.0
9,608914.0496239833,56709.43872830889,0.0931320910780891
10,983706.7536813244,122498.37972963371,0.12452733426014226
11,923091.0377055124,80599.51064987609,0.08731480142004067
12,367570.13693770446,12342.30839737731,0.03357810430467336
13,6437.1624412807905,0.0,0.0
14,320097.0758841944,29071.50158265952,0.09082089082618514
15,1096127.3863392144,112669.87025388515,0.10278902950338076
16,914831.3159330669,96434.04476123584,0.10541183175707049
17,426013.9021729675,25865.971448993638,0.06071626141085813
18,351430.5144273241,34394.35122401943,0.09786956400205307
19,749761.4853321891,59721.300773958814,0.07965373247666718
20,233197.3452746931,16131.389291361707,0.06917484104443751
21,41704.92538723196,0.0,0.0
22,5264.260176464113,0.0,0.0
23,170199.8625275252,3400.6537898860365,0.01998035567940646
24,564.0315575833321,0.0,0.0
