cell_id,total_length_m,sep_length_m,sep_share
1,134073.54223516557,2561.6464353817573,0.019106278484748454
2,203999.12738441722,2189.1969329322615,0.010731403418245633
3,11417.789071591771,0.0,0.0
4,147391.33839977795,0.0,0.0
5,462253.86060475267,9734.30913921365,0.02105836201449686
6,493966.7676756337,8596.05173719563,0.0174020851192975
7,172094.35019375072,0.0,0.0
8,2929.2125659280787,0.0,0.0
9,567908.7902322422,7358.06732638175,0.012956424434586972
10,884360.5854079498,38723.073627761754,0.04378652132025881
11,845355.4745227561,9485.998578290946,0.011221313239434866
12,338211.30912988156,9571.448298695186,0.028300201797863335
13,6543.844775017859,0.0,0.0
14,297532.13312328566,11844.31145620982,0.039808511880301684
15,973178.6753289046,66725.29422631938,0.0685642790146098
16,840114.5426249964,40728.23716749811,0.04847938596591829
17,395634.7245785275,24602.719550085018,0.062185440310615986
18,313297.38387664815,32937.09356434394,0.10513044557471304
19,679785.2644199722,43313.57546696385,0.063716555409481
20,201742.43081905157,8799.52434123648,0.04361761829433402
21,33445.25839181094,1643.240187053732,0.04913223177417816
22,5251.978974685419,0.0,0.0
23,150276.58071270186,1949.8374546247142,0.012974992146995979
24,563.9424316516996,0.0,0.0
