cell_id,highway,length_m
1,cycleway,1643.8985300856355
1,footway,37777.522715914
1,living_street,392.1447583917451
1,motorway,8128.3207711796495
1,motorway_link,6733.832960514551
1,path,26236.883584185234
1,primary,2845.834611010312
1,residential,29284.954577646866
1,secondary,2593.7690189121527
1,service,19612.695680413286
1,tertiary,3529.1748702263253
1,track,25714.81743687706
1,unclassified,3932.744736059583
2,cycleway,1262.76922683166
2,footway,49218.753807095396
2,living_street,1844.7240170331393
2,motorway,11888.711835965352
2,motorway_link,3823.648380080306
2,path,43148.02878691423
2,residential,43623.788558095504
2,secondary,9098.905533752477
2,service,37126.97004575499
2,tertiary,9967.94377746785
2,track,48679.29318216584
2,unclassified,6279.304669614254
3,footway,230.63951821216025
3,motorway,1120.0058638730534
3,path,383.17459289379656
3,residential,919.5482490947594
3,service,3145.951327979793
3,tertiary,457.0984799704944
3,track,4998.825554863116
3,unclassified,393.6153201198398
4,cycleway,5546.50032785765
4,footway,70073.8472064015
4,living_street,1155.3113711983203
4,motorway,5023.610795023796
4,motorway_link,1773.9157563459987
4,path,20705.636590008446
4,pedestrian,911.3203604648045
4,residential,25960.73281068098
4,secondary,3879.018180971586
4,secondary_link,166.70989847385354
4,service,15031.99998583792
4,tertiary,2280.6788074206374
4,track,3162.0805324664234
4,unclassified,2303.999253680405
5,cycleway,8320.77589656434
5,footway,143152.92799981835
5,living_street,2595.568705432139
5,motorway,4315.442306220838
5,motorway_link,1865.7066981323142
5,path,86939.2097838571
5,pedestrian,4657.763513455768
5,primary,7436.891212559162
5,primary_link,107.30987764684944
5,residential,126892.50832470745
5,secondary,16491.278998149144
5,secondary_link,231.32605059295832
5,service,71985.50085865083
5,tertiary,11035.023633887262
5,track,16080.710316211116
5,unclassified,1408.8033564394455
6,cycleway,14245.316937895079
6,footway,108694.69067109641
6,living_street,14476.488845908621
6,motorway,10008.528591721299
6,motorway_link,4939.819602731515
6,path,89156.94853789595
6,pedestrian,1357.207116584077
6,primary,4874.779467327469
6,primary_link,204.96285082053373
6,residential,147965.8125444374
6,secondary,16534.88136551877
6,service,83861.00372800701
6,services,997.1155085240905
6,tertiary,14167.699354500983
6,tertiary_link,117.15209405785198
6,track,19329.063366855662
6,unclassified,8174.791330949795
7,cycleway,3962.5703925269063
7,footway,18966.195955374234
7,living_street,320.5441758169402
7,motorway,12940.90671015986
7,motorway_link,1952.5328962974017
7,path,28201.709385912327
7,pedestrian,271.21176920753095
7,primary,5793.531657991106
7,residential,17352.564563506177
7,secondary,4010.477302631424
7,secondary_link,40.70066914334114
7,service,47545.7826774732
7,tertiary,4241.648705629606
7,track,37485.53527989739
7,unclassified,7936.8281047164155
8,footway,171.38835734665736
8,path,695.6925094368942
8,track,1824.1082111723647
9,cycleway,12392.831691500276
9,footway,167944.79970784177
9,living_street,667.6763570127824
