cell_id,V_share,score_V,R_share,score_R,score_O,mean_slope_pct,score_T,K_count,score_K
1,88.60888635384984,8,0.0,0.0,8.443176640966579,17.147866446099783,0,165.0,0
2,90.75995695525117,8,0.0,0.0,7.8222053546314045,15.363562326047942,0,280.0,2
3,90.81504763890055,8,,,6.55134944709238,53.0465670486057,0,4.0,0
4,64.94801218790472,4,0.0,0.0,7.749547876042431,28.663863293024693,0,165.0,0
5,83.27391147253824,6,1.1488180227778666,0.0,8.685295322395303,10.664709452098137,0,649.0,2
6,91.11874316467143,8,0.0,0.0,8.657296707923846,4.497109621628477,4,549.0,2
7,93.29968811277267,8,0.0,0.0,8.477193652306456,22.406014446179007,0,158.0,0
8,128.8075343000457,10,,,,24.535825002199974,0,1.0,0
9,86.02509630673646,6,0.0,0.0,8.263443555589255,20.945205863708196,0,929.0,2
10,79.69555226852097,6,0.8512216690743762,0.0,8.659973004846636,6.452922459448344,2,1913.0,2
11,78.67753231141789,6,0.1596032964510214,0.0,8.283950417667738,5.838572759868019,2,1411.0,2
12,84.25283558907438,6,0.0,0.0,8.342954725311472,9.629998733980752,2,364.0,2
13,116.67874282728339,10,,,8.083568169069416,20.21515555523186,0,5.0,0
14,82.97625510675537,6,0.0,0.0,8.360763631034398,19.574224460407514,0,529.0,2
15,67.53388578021183,4,0.6531734729944049,0.0,8.198759418975863,7.526338789574366,2,2665.0,2
16,79.17364325964438,6,1.5569463642080872,0.0,8.2019788556607,7.565435727090329,2,1547.0,2
17,83.1404654090622,6,0.0,0.0,8.138892903398308,9.25868349607069,2,431.0,2
18,96.82588365171401,8,0.0,0.0,8.097397914911559,11.575678583331248,0,553.0,2
19,83.06421947466056,6,1.0266488856636222,0.0,8.53709193943266,5.106168583746429,2,1021.0,2
20,84.1671047805947,6,0.0,0.0,7.779397484052161,19.438911586187285,0,263.0,2
21,102.98329918087241,10,0.0,0.0,6.916893808875923,51.47931228449725,0,23.0,0
22,116.33786174254814,10,,,7.176758193216022,137.97179648941383,0,6.0,0
23,75.50027688583157,6,0.0,0.0,8.460440556264162,19.177529973711646,0,147.0,0
24,172.5544990985446,10,,,9.03917643611046,296.05524517025964,0,0.0,0
