cell_id,V_share,score_V,R_share,score_R,score_O,mean_slope_pct,score_T,K_count,score_K
1,88.96862369319759,8,0.0,0.0,8.878392567942756,19.39567641841366,0,103.0,0
2,95.03373334650185,8,11.388645067865815,0.0,8.587634773422893,18.074394016864353,0,150.0,0
3,88.16941533528788,8,,,6.132355237421037,56.67448986643764,0,3.0,0
4,61.257482770397296,4,0.0,0.0,8.357812276670865,29.31293308682832,0,130.0,0
5,80.5067650343318,6,1.1494518876427016,0.0,8.873585254205393,10.971850755018826,0,558.0,2
6,91.40269237994889,8,6.398184634451506,0.0,8.433799253510035,4.592450291644421,4,466.0,2
7,94.54055041460828,8,0.0,0.0,8.565649106961878,17.567765031908014,0,127.0,0
8,125.9096305695288,10,,,,39.91163216868861,0,0.0,0
9,81.53139846500834,6,0.7421496200917063,0.0,8.269794886202362,21.380363842201632,0,698.0,2
10,82.07934431270422,6,1.6221051063967027,0.0,8.862987470662686,6.5284769643928025,2,1472.0,2
11,79.26749680350528,6,1.102444671683295,0.0,8.499888450756306,5.932970146124422,2,1054.0,2
12,80.94481462822061,6,0.0,0.0,8.615745261388575,10.150670738465683,0,272.0,2
13,117.89305715012767,10,,,6.689623056509604,19.33979882182614,0,4.0,0
14,74.2559419505467,4,0.0,0.0,8.81632163296834,20.588975898235716,0,398.0,2
15,72.44516767930682,4,0.9693805326459649,0.0,8.679244810569664,7.655163577377978,2,2145.0,2
16,77.86688032158773,6,2.154667952396152,0.0,8.602270189476094,7.665899697472584,2,1197.0,2
17,83.3765546679345,6,0.0,0.0,8.404714738988954,8.55736555317183,2,355.0,2
18,99.1485035598917,8,0.48414958042238726,0.0,8.767159104813967,11.14682512545771,0,407.0,2
19,84.89484296913348,6,3.1738644957459585,0.0,9.062279905982514,5.203820236871245,2,685.0,2
20,85.96692051942635,6,0.0,0.0,8.326640205235059,24.25749824083835,0,182.0,2
21,105.09784981219184,10,0.0,0.0,8.015675009720885,64.59271500632634,0,18.0,0
22,99.84701678931773,8,,,6.694311190945136,149.16293766497054,0,4.0,0
23,82.05845840159381,6,0.0,0.0,8.681259017429179,20.310589198189096,0,93.0,0
24,172.55016158872144,10,0.0,0.0,10.0,296.1020180327579,0,0.0,0
